"DOY","Ta","Tw","SoilMoistureContent","Precipitation","RunOff","deltaD","Taweek","Twweek","Dweek"
1,10.2,6.4048935737811,80.178,0,0,0.00842186500000075,8.14285714285714,5.97559229004381,9.7858040797619
2,9.9,9.90120296270857,79.076,0,0,0.0092962399999994,8.1,6.45692537046208,9.79244267857143
3,9.6,8.47491173024316,78.2106666666667,0,0,0.0101621366666702,8.85714285714286,7.07167474234553,9.79996864619048
4,8.5,6.80192054562404,76.7173333333333,0,0,0.0110188083333291,9.07142857142857,7.45709219609859,9.80837511309524
5,6.8,5.86327285420445,75.6426666666667,0,0,0.0118655450000009,8.88571428571429,7.34259780994728,9.81765441928571
6,6.9,7.06508561145656,74.4766666666667,0,0,0.0127016666666702,8.58571428571429,7.33770090809937,9.82779813904762
7,5.8,4.94918624128567,73.354,0,0,0.0135265283333297,8.24285714285714,7.06578193132908,9.83879710904762
8,5.7,3.46675783371196,71.6273333333333,0,0,0.0143395200000001,7.6,6.64604825417634,9.85064145833333
9,6.6,5.01907750501149,69.7466666666667,0,0,0.0151400633333303,7.12857142857143,5.94860176021962,9.86332063952381
10,5.9,4.44189300268458,68.7046666666667,0,0,0.0159276283333387,6.6,5.37245622771125,9.87682346238095
11,5.9,4.30887539817558,66.566,0,0,0.016701708333331,6.22857142857143,5.0163069209329,9.89113812809524
12,4.8,3.11625544358774,65.57549792,0,0,0.0174618516666705,5.94285714285714,4.62387586227337,9.90625226619048
13,6.4,4.56582068113821,64.8701080727808,0.5,0,0.0182076316666588,5.87142857142857,4.26683801508503,9.92215297071428
14,5,2.74112505813821,63.0148229818993,0,0,0.0189386716666711,5.75714285714286,3.95140070320682,9.93882683857143
15,5.1,1.94761640184371,61.1918041530329,0,0,0.0196546266666999,5.67142857142857,3.73438049865422,9.95626000738096
16,4.4,3.24038477633415,59.4031677176398,0,0,0.0203551999999991,5.35714285714286,3.4802815374146,9.9744381957143
17,3.1,1.1022678117272,58.5222187403872,0,0,0.0210401200000003,4.95714285714286,3.00319222442069,9.99334674000002
18,5.4,6.4671762494545,57.4465803599389,0,0,0.0217091699999994,4.88571428571429,3.31152091746053,10.0129706359524
19,5,3.43701318941454,59.1350802788528,3,0,0.0223621600000001,4.91428571428571,3.35734345257865,10.0332945759524
20,8.2,7.68220262960875,57.641328151009,0,0,0.0229989350000004,5.17142857142857,3.80254087378872,10.0543029878572
21,7.9,6.76639735036217,56.7035037419921,0,0,0.0236193849999999,5.58571428571429,4.37757977267786,10.0759800730953
22,4.8,3.00545213989955,55.3970550157766,0,0,0.0242234283333005,5.54285714285714,4.52869916382869,10.0983098442857
23,4.7,2.97052775731135,53.9539617326156,0,0,0.024811018333299,5.58571428571429,4.49014816111115,10.1212761609524
