"DOY","Ta","Tw","SoilMoistureContent","Precipitation","RunOff","deltaD","Taweek","Twweek","Dweek"
1,-0.757849121093727,-2.92230058230747,100,1.16068331408314,1.16068331408314,0.0109382349999994,0.629915945870557,-0.229411206931971,9.78772586761905
2,0.917382812500023,2.73837025220902,100,2.24982959480258,1.51682959480257,0.0097158050000008,0.729577636718771,0.349366082724153,9.79493857309524
3,3.01088867187502,3.06220044160229,100,4.23001292801928,3.75201292801927,0.010577249999999,1.44183175223216,1.52143741290879,9.80306666142857
4,1.63790283203127,0.612950860554068,100,9.39089732128195,9.24889732128196,0.0114291233333308,1.42686941964288,1.07040993093322,9.81210272333333
5,-1.48612060546873,-3.5337422278871,100,2.90207481157267,0,0.0122707283333394,0.782259695870557,0.211496929021427,9.82203854119048
6,-0.438024902343727,-2.44153000425012,100,1.98057805391727,3.41449467615178,0.0131014050000005,0.592213657924128,-0.215473765122895,9.83286511595238
7,0.170922851562523,0.807124757450352,100,2.90963980660308,3.89979799594124,0.0139205216666607,0.436443219866093,-0.239560928946994,9.84457269714286
8,-0.279882812499977,-3.49408226005473,100,1.10070004666341,1.10070004666341,0.0147274833333402,0.504724121093772,-0.321244025768031,9.85682159952381
9,0.355493164062523,0.827876565573781,99.7784781160932,0.205717174139863,0,0.0155217383333284,0.424454171316986,-0.594171695287351,9.86989992095238
10,2.16604003906252,3.76558188577201,99.258053246883,0.0733626961846312,0,0.0163027650000007,0.303761509486629,-0.493688631834534,9.88379617309524
11,2.69338378906252,3.61876439181855,98.8202066460645,0.00223009877231561,0,0.0170700866666706,0.454544503348236,-0.0642866987967511,9.89849827714286
12,4.16585693359377,5.67655236336257,98.5075307829618,0.452986205345951,0,0.0178232600000001,1.26196986607145,1.25146967138177,9.9139936
13,7.97188720703127,10.434163063103,100,3.93176887882873,0.626065053271475,0.0185618833333301,2.46338588169645,3.09085439528936,9.93026899119048
14,4.60787353515627,4.46916638151299,100,5.20644643984269,4.92444643984268,0.0192855983332993,3.0972359793527,3.61400319872688,9.94731082190476
15,1.54293212890627,1.81166047765578,100,2.46679028350627,2.24079028350627,0.01999408,3.35763811383931,4.37196644697124,9.96510502357142
16,2.64119873046877,3.57715828963706,100,4.38856259279419,3.69656259279418,0.0206870466666995,3.68416748046877,4.76472097898028,9.98363712642856
