"DOY","Ta","Tw","SoilMoistureContent","Precipitation","RunOff","deltaD","Taweek","Twweek","Dweek"
1,2.34993896484377,2.74312435551381,100,9.47578591876663,8.56078591876664,0.0109382349999994,3.47952968052458,2.93323187475066,9.78772586761905
2,3.94313964843752,4.69790368712101,100,4.53227003163192,3.43527003163192,0.0097158050000008,3.18500017438618,2.76234372581516,9.79493857309524
3,4.3922058105469,3.96471140805148,100,2.41348516283324,1.66848516283324,0.010577249999999,2.73755580357145,2.56881829128009,9.80306666142857
4,5.25859985351565,7.15306192030637,100,5.99383238295559,4.77283238295558,0.0114291233333308,3.00805489676342,3.25156422044571,9.81210272333333
5,5.14211425781252,5.10929072645299,100,23.3771803323179,23.1991803323179,0.0122707283333394,3.47082345145092,3.81276264021288,9.82203854119048
6,4.7628112792969,5.13506705818512,100,2.32421971304575,1.47021971304574,0.0131014050000005,3.92904924665181,4.39747242433005,9.83286511595238
7,4.83233032226565,5.31349214377812,100,0.988827468972886,0.127827468972896,0.0139205216666607,4.38302001953127,4.87380732848699,9.84457269714286
8,6.23409423828127,7.76218706027228,99.3010926103643,0.109638915546384,0,0.0147274833333402,4.93789934430806,5.59081628630963,9.85682159952381
9,12.1328979492188,12.9297869089728,100,32.647472107783,30.7911110233294,0.0155217383333284,6.10786481584824,6.76679960371702,9.86989992095238
10,5.20424804687502,4.27148864775821,100,2.3605838578078,1.29958385780779,0.0163027650000007,6.2238708496094,6.81062492367513,9.88379617309524
11,1.97542724609377,1.2095646572059,100,3.06241745420266,2.19441745420266,0.0170700866666706,5.75484619140628,5.96155388608935,9.89849827714286
12,2.16738281250002,2.20585387398606,100,3.11866569973063,2.10366569973064,0.0178232600000001,5.32988455636163,5.54677719287978,9.9139936
13,4.4905944824219,4.85080687872891,99.7649577149058,0.807436572358711,0,0.0185618833333301,5.29099644252235,5.50616859581461,9.93026899119048
14,4.58876953125002,3.21335935307515,100,1.49541201608372,0.700848588442426,0.0192855983332993,5.25620204380583,5.20614962571419,9.94731082190476
15,5.14693603515627,6.05819006716654,100,4.97440414619632,4.06040414619633,0.01999408,5.10089372907369,4.96272148384194,9.96510502357142
