"DOY","Ta","Tw","SoilMoistureContent","Precipitation","RunOff","deltaD","Taweek","Twweek","Dweek"
1,3.7139831542969,4.20079243737577,100,7.4047340604011,6.3867340604011,0.0109382349999994,4.12498081752234,3.9837621134094,9.78772586761905
2,1.58513793945315,-0.257856430114285,100,7.39519600756466,6.64819600756465,0.0097158050000008,3.49120919363842,3.05242061956514,9.79493857309524
3,4.14144287109377,4.03938505042467,100,5.24899260199163,4.58599260199162,0.010577249999999,3.09724905831475,2.56369229009323,9.80306666142857
4,2.5949645996094,3.33910640039711,100,1.45493304444244,0.309933044442431,0.0114291233333308,2.79012015206475,2.41648197799135,9.81210272333333
5,0.253900146484398,0.762618234441663,100,6.46969565423205,5.40969565423205,0.0122707283333394,2.29847760881699,2.16293131958932,9.82203854119048
6,1.7938171386719,2.39715914586702,100,4.1208175389329,3.1688175389329,0.0131014050000005,2.31213640485493,2.33359733971584,9.83286511595238
7,2.63112792968752,1.58234664967724,100,4.62650350527838,3.83650350527839,0.0139205216666607,2.38776768275672,2.29479306972417,9.84457269714286
8,2.4587341308594,2.44232009872146,100,5.03546252730303,4.05746252730302,0.0147274833333402,2.20844639369422,2.0435827356307,9.85682159952381
9,0.900567626953148,0.774573139451728,100,11.1312605440617,10.3462605440617,0.0155217383333284,2.11065063476565,2.19107267414013,9.86989992095238
10,-1.10605468749998,-5.99039217812236,99.6786666666667,3.94667404179927,0,0.0163027650000007,1.36100812639511,0.758247355776266,9.88379617309524
11,1.85952148437502,3.98067994297097,100,2.51914680120535,4.78082084300462,0.0170700866666706,1.25594482421877,0.849900719001103,9.89849827714286
12,2.54351196289065,2.54690869014021,100,5.10907520947512,4.34807520947513,0.0178232600000001,1.58303222656252,1.10479935552947,9.9139936
13,2.76906738281252,2.71460381815955,99.7151514862413,0.355727229361946,0,0.0185618833333301,1.72235369001118,1.1501485944284,9.93026899119048
14,3.4807067871094,4.10495869067257,99.5577682231115,0.661925105305272,0,0.0192855983332993,1.84372209821431,1.51052174314202,9.94731082190476
15,2.44805297851565,0.0176984742942343,99.5946851661812,0.370375414604496,0,0.01999408,1.84219621930806,1.1641472253667,9.96510502357142
16,2.62465820312502,2.53688202477119,99.2505719524324,0.134830179376877,0,0.0206870466666995,2.0884948730469,1.41590563755519,9.98363712642856
17,1.3083435058594,2.24851298786305,99.1760557599946,1.17222571134334,0,0.0213642533332994,2.43340890066967,2.59289208983882,10.0028922990476
18,1.81447753906252,2.06977095274789,99.8620292423988,2.10996022360632,0,0.0220254916667013,2.42697405133931,2.31990509123553,10.0228553866667
19,2.6005798339844,4.16346793398384,100,2.44775328610558,1.10579714970387,0.0226705949999992,2.4351266043527,2.55084212607033,10.0435109507143
20,2.8773132324219,4.15295635357623,100,1.50875484905555,0.368754849055563,0.0232994266666999,2.45059029715404,2.75632105970129,10.0648433066667
21,3.48946533203127,4.60962902456636,99.4083631296953,0.141544694542972,0,0.0239118916666001,2.45184151785717,2.82841682168611,10.0868365616667
22,5.8461853027344,7.58965878137154,98.9289306840598,0.74485133154667,0,0.0245079266667005,2.93728899274556,3.91012543698287,10.1094746519048
23,3.80123291015627,2.92220154832425,99.8706563693439,2.09958852792624,0,0.0250874966666998,3.10537109375002,3.96517108320474,10.1327413778571
24,3.41524658203127,4.15594003799151,99.6090012081816,0.552517258256557,0,0.0256506049999992,3.40635724748886,4.23766066179452,10.1566204397619
25,3.4428649902344,2.50073719387253,100,1.21496796054998,0.021469772822428,0.026197281666601,3.6389840262277,4.29922726766947,10.1810954716667
26,4.7230163574219,6.460886616607,99.6288318041661,0.666247706249123,0,0.0267275849999997,3.94218924386163,4.62742993661563,10.2061500735714
27,8.8918395996094,9.10545262765875,100,12.8766536363401,11.4179013425892,0.0272416016667005,4.80140729631699,5.33492940434171,10.2317678433333
