"DOY","Ta","Tw","SoilMoistureContent","Precipitation","RunOff","deltaD","Taweek","Twweek","Dweek"
1,6.1280456542969,7.27451288045467,79.8774012282218,0.647101842332631,0,0.0109382349999994,7.04725254603797,8.36019265766574,9.78772586761905
2,7.73195800781252,9.48509246523887,83.5631031570037,6.44955289317295,0,0.0097158050000008,6.78213762555806,8.17992099382536,9.79493857309524
3,12.337060546875,10.823922175321,89.12664910971,8.34531892905943,0,0.010577249999999,7.33190307617189,8.47388743785936,9.80306666142857
4,4.78328857421877,6.07558069655537,88.506511396616,0.0347934303590591,0,0.0114291233333308,6.86997157505582,8.15915525430802,9.81210272333333
5,4.0622497558594,7.16191477201999,87.6610874614723,0.00786409728448234,0,0.0122707283333394,6.19589059012279,7.69297410899507,9.82203854119048
6,7.35378417968752,10.484191429211,88.2518673004882,2.35216975852381,0,0.0131014050000005,6.77796107700895,8.40054669317741,9.83286511595238
7,7.93258056640627,6.99033470795293,91.7455316113453,5.24049646628555,0,0.0139205216666607,7.18985246930805,8.32793558953626,9.84457269714286
8,14.4970031738281,14.1198507527626,100,27.3993704468012,15.0176678638191,0.0147274833333402,8.38541782924108,9.30584099986597,9.85682159952381
9,16.2231384277344,16.2515192786486,100,10.0497760286089,9.34477602860889,0.0155217383333284,9.59844360351564,10.2724734017816,9.86989992095238
10,9.44204101562502,11.2331384693424,100,1.83884985744953,0.562849857449521,0.0163027650000007,9.18486938476564,10.3309328723561,9.88379617309524
11,6.26665649414065,7.73590212142186,100,1.31986062115175,0.232860621151758,0.0170700866666706,9.39677908761162,10.5681216473371,9.89849827714286
12,3.23479614257815,7.35709181361591,100,2.88735100184567,1.43935100184567,0.0178232600000001,9.27857142857144,10.5960040818508,9.9139936
13,4.09221801757815,7.30647473073717,99.8247668549974,1.08915028249612,0,0.0185618833333301,8.81263340541296,10.1420445534974,9.93026899119048
14,3.2033630371094,6.83536036511376,100,2.01337279577274,0.464523078268854,0.0192855983332993,8.1370309012277,10.1199053616632,9.94731082190476
15,3.72872314453127,6.97075629087586,99.9916261752178,1.27543926282669,0,0.01999408,6.59870518275672,9.09860615282222,9.96510502357142
16,5.16066894531252,7.92562804938895,100,1.48776680362062,0.247206066447291,0.0206870466666995,5.01835239955359,7.90919312007084,9.98363712642856
17,5.88759765625002,8.55298332784819,99.7482650874608,0.903397631191183,0,0.0213642533332994,4.51057477678574,7.5263138141431,10.0028922990476
18,5.43270263671877,7.63016756143148,98.9023281336453,0.0380945692768364,0,0.0220254916667013,4.39143851143975,7.51120887700162,10.0228553866667
19,10.6086059570313,13.7595642742536,100,31.6717399982736,28.4552321987416,0.0226705949999992,5.44483991350449,8.42584779994986,10.0435109507143
20,9.26094970703127,11.557432737732,99.7191303003374,0.795695450506173,0,0.0232994266666999,6.18323015485494,9.03312751523483,10.0648433066667
21,4.64083251953127,7.91123941949752,99.1586603849128,0.525295126863057,0,0.0239118916666001,6.38858293805806,9.18682452300394,10.0868365616667
22,7.30019531250002,10.1355963936309,100,29.7142076306045,27.3911982079737,0.0245079266667005,6.89879324776788,9.63894453768323,10.1094746519048
23,8.41091308593752,7.59987192167279,100,4.20746255258564,4.20746255258564,0.0250874966666998,7.36311383928574,9.5924079480095,10.1327413778571
24,0.273187255859398,3.65400862822755,100,2.57634492299985,1.48034492299985,0.0256506049999992,6.56105521065851,8.89255441949226,10.1566204397619
25,1.14217529296877,5.71191478878655,100,1.59392875502817,0.237928755028179,0.026197281666601,5.94812273297994,8.61851830911442,10.1810954716667
26,3.94817504882815,8.59602719530253,99.3567923215223,0.689188482283498,0,0.0267275849999997,4.99663260323663,7.88087015497855,10.2061500735714
27,9.15313110351565,11.3108257053852,100,3.36866614816245,1.19885463044594,0.0272416016667005,4.98122994559154,7.84564057892901,10.2317678433333
28,3.58880004882815,7.21177113575782,99.4911292258535,0.65569383878028,0,0.0277394399999995,4.83093959263395,7.74571653839476,10.2579324057143
29,4.07036743164065,8.25846555705382,98.7242849638245,0.584733606956434,0,0.0282212383333,4.36953560965404,7.47755499031232,10.2846274411905
30,7.61403808593752,8.92753287891819,100,2.9918290238129,0.280256469549585,0.0286871499999997,4.25569632393976,7.66722084134738,10.3118367128571
31,3.1673522949219,5.91759893330673,99.7339656620553,0.793948493083008,0,0.0291373566667001,4.66914847237726,7.99059088493012,10.3395440919047
32,5.09514770507815,10.3279491740679,100,2.5281678972533,0.421116390336294,0.0295720533333004,5.23385881696431,8.65002436854174,10.3677335811905
33,8.2940612792969,12.1307246421328,100,5.18980305059813,3.42680305059812,0.0299914499999989,5.85469970703127,9.15498114666035,10.3963893369047
34,1.18624267578127,5.3528430576528,100,3.41088561981451,2.1298856198145,0.0303957816667015,4.71657278878351,8.30384076841287,10.4254956897619
35,1.12050781250002,6.79704284687357,100,2.25525309360819,0.797253093608191,0.0307852883333002,4.3639596121652,8.24459387000083,10.4550371638095
36,3.08559570312502,8.44449258259625,100,3.56283526343759,1.95583526343759,0.0311602266666995,4.22327793666297,8.27116915936403,10.4849984933333
37,1.86257324218752,7.00053485494136,100,1.5534067642875,0.0644067642874973,0.0315208649999992,3.40164010184154,7.99588372736734,10.5153646392857
38,2.7142272949219,7.38251350809499,99.9360050622625,1.43200759339379,0,0.0318674783333002,3.3369079589844,8.20515723805138,10.546120802619
39,1.96279296875002,7.03015038733104,100,2.30553614528617,0.62854373867998,0.0322003533333994,2.88942871093752,7.7340431256604,10.5772524373809
40,2.88253173828127,8.00108842941136,99.8239248194414,1.34088722916204,0,0.0325197816666005,2.116353062221,7.14409509527162,10.6087452623809
41,2.23565063476565,3.78680576203346,99.871829089914,0.978856405708939,0,0.0328260583334004,2.26626848493306,6.92037548161172,10.6405852697619
42,2.74321899414065,8.25646536381646,99.1929798672753,0.763726166042034,0,0.0331194883333001,2.49808436802458,7.12886441260356,10.6727587342857
43,3.74541625976565,5.35990922280219,100,14.8158083902672,12.6472781911802,0.0334003749999994,2.59234444754467,6.68820964691869,10.70525222
44,10.7828308105469,10.2407565112177,100,15.9965435159393,15.9965435159393,0.033669025,3.86666695731029,7.15109845495817,10.7380525857143
45,10.2234436035156,14.1534565502679,98.6725109257541,0.104766388631106,0,0.0339257499999999,4.93941214425225,8.11837603241144,10.7711469902381
46,9.62539062500002,11.7589461525183,100,38.4012528229505,35.3910192115816,0.0341708516667012,6.03406895228796,8.79391828458105,10.8045228945238
47,5.0228210449219,9.39587839393617,99.4343980231406,0.727597034710925,0,0.03440464,6.33982456752234,8.99317399379888,10.8381680642857
48,4.23073730468752,9.03764963731644,98.7325820548534,0.536276047569118,0,0.0346274233332995,6.62483694893975,9.74329454741074,10.8720705719048
